rho_x,tau,kappa_post,eta_ula,slow_ar_coefficient,ess_slow,ess_fast,acf_slow_lag_100,theoretical_acf_slow_lag_100
0.0,0.3,1.0000000000000002,0.0072,0.20000000000000018,33410.1065389566,33107.302426378774,-0.004254940912064539,1.267650600228342e-70
0.5,0.3,2.6363636363636362,0.004965517241379311,0.696551724137931,9225.612381733155,32365.608570239066,-0.011766641798291913,1.9739545767334873e-16
0.9,0.3,9.526315789473673,0.003977900552486188,0.9160220994475137,2146.9651969878264,32149.003814233227,-0.007081321172499301,0.00015509404913168696
0.99,0.3,17.34862385321098,0.003807509254362772,0.9538868323638285,1276.327183145035,33437.73543889329,0.00425304601463234,0.008906055033885446
0.0,1.0,1.0000000000000002,0.007920792079207921,0.20000000000000018,33055.97838508043,33213.52506201809,0.0017973744874319967,1.267650600228342e-70
0.5,1.0,2.9607843137254903,0.005298013245033113,0.7298013245033113,7880.68625165966,33281.586624305186,-0.025416642485781956,2.0915330049785216e-14
0.9,1.0,17.363636363636328,0.004188481675392671,0.9539267015706805,1185.5005347480264,32812.73237382363,0.0077684452653596255,0.008943356417318341
0.99,1.0,99.99999999999893,0.004,0.9919999999999999,281.94047593315406,33624.25763888393,0.387440451601814,0.44788571940307326
0.0,10.0,1.0000000000000002,0.007999200079992,0.20000000000000018,32596.64896427738,33658.96250374516,0.003626125845917937,1.267650600228342e-70
0.5,10.0,2.9996000799840026,0.005332977801479902,0.7332977801479901,7302.002092781108,33738.65769642729,-0.007147243455063731,3.373160681027537e-14
0.9,10.0,18.98201798201792,0.004210304720804169,0.9578548497447501,1009.1115602123791,32952.58638225765,0.011067175003356654,0.013488704699226322
0.99,10.0,197.03960396039088,0.004019898497562937,0.9959399025174613,180.3649870219808,33424.804671384976,0.6711663601047544,0.6657532280292521
