rho_x,tau,posterior_var_beta1,mf_var_beta1,mf_to_post_var_ratio_beta1,posterior_var_beta2,mf_var_beta2,mf_to_post_var_ratio_beta2
0.0,0.3,0.009,0.009,1.0,0.009000000000000003,0.009000000000000003,1.0
0.5,0.3,0.011285266457680248,0.009,0.7975000000000001,0.01128526645768025,0.009,0.7975
0.9,0.3,0.026170398371619618,0.009,0.3439000000000005,0.026170398371619618,0.009,0.3439000000000005
0.99,0.3,0.0436640969537014,0.009,0.20611900000000047,0.043664096953701395,0.009,0.2061190000000005
0.0,1.0,0.009900990099009901,0.009900990099009901,1.0,0.009900990099009905,0.009900990099009905,1.0
0.5,1.0,0.013115179846773148,0.009900990099009901,0.7549259876482697,0.013115179846773148,0.009900990099009901,0.7549259876482697
0.9,1.0,0.04807234650166573,0.009900990099009901,0.2059601999803947,0.04807234650166573,0.009900990099009901,0.2059601999803947
0.99,1.0,0.2524999999999971,0.009900990099009901,0.039211841976277285,0.25249999999999706,0.0099009900990099,0.039211841976277285
0.0,10.0,0.00999900009999,0.00999900009999,1.0,0.009999000099990003,0.009999000099990003,1.0
0.5,10.0,0.013331111525844952,0.00999900009999,0.7500499925009999,0.013331111525844954,0.00999900009999,0.7500499925009998
0.9,10.0,0.05258149040055237,0.00999900009999,0.19016197570324025,0.05258149040055237,0.00999900009999,0.19016197570324025
0.99,10.0,0.49756194151145877,0.00999900009999,0.020095990600920436,0.49756194151145877,0.00999900009999,0.020095990600920436
