rho,kappa,eta,target var 1,empirical ULA var 1,theoretical ULA var 1,target corr,empirical ULA corr,theoretical ULA corr
0.0,1.0,0.8,1.0,1.6668689889350135,1.6666666666666667,0.0,0.004427429048645991,0.0
0.5,3.0,0.4,1.0,1.272498079785766,1.282051282051282,0.5,0.3507188419560017,0.35
0.9,19.000000000000004,0.07999999999999997,1.0,1.0226395585664274,1.0537634408602143,0.9,0.8380652943848627,0.8418367346938774
0.99,198.99999999999983,0.008000000000000012,1.0,1.0199815521107105,1.0053373615307184,0.99,0.9836803196355914,0.9834218170890514
