rho,kappa,m,L,eta,MF variance,KL(q* || pi)
0.0,1.0,1.0,1.0,0.8,1.0,-0.0
0.5,3.0,0.6666666666666666,2.0,0.4,0.75,0.14384103622589045
0.9,19.000000000000004,0.5263157894736845,10.000000000000004,0.07999999999999997,0.18999999999999995,0.8303656034108255
0.99,198.99999999999983,0.5025125628140685,99.99999999999986,0.008000000000000012,0.01990000000000003,1.9585177736258443
