rho,kappa,eta,target corr,empirical corr ULA,MF variance,KL(q* || pi),ESS slow direction,ESS fast direction,ACF slow lag 50,ACF slow lag 100
0.0,1.0,0.8,0.0,0.004427429048645991,1.0,-0.0,27366.36126233901,27011.114563682884,-0.0024261259238346536,0.002346895513455051
0.5,3.0,0.4,0.5,0.3507188419560017,0.75,0.14384103622589045,5901.1605871091615,26201.285564512524,-0.00563952488684256,0.0013925938060715582
0.9,19.000000000000004,0.07999999999999997,0.9,0.8380652943848627,0.18999999999999995,0.8303656034108255,892.5915240086464,25884.49152209003,0.13186484842379168,1.2382474405319706e-05
0.99,198.99999999999983,0.008000000000000012,0.99,0.9836803196355914,0.01990000000000003,1.9585177736258443,146.3687942595517,26852.428126006504,0.8153360427716893,0.6608149921071216
